ZIP,Pipedrive.Contacts,ZIP.1,Number.of.Schools,HotSpot,lat,long
91302,4,91302,1,1,34.123305,-118.671025
91320,2,91320,1,0,34.175967,-118.945093
91321,3,91321,2,1,34.368158,-118.48913
91325,1,91325,1,0,34.237519,-118.517712
91331,2,91331,1,0,34.255442,-118.421314
91335,3,91335,2,1,34.200175,-118.540958
91340,1,91340,1,0,34.286687,-118.43508
91342,1,91342,1,0,34.326584,-118.382261
91343,3,91343,2,1,34.237912,-118.482306
91344,2,91344,2,0,34.294615,-118.507001
91350,2,91350,2,0,34.440891,-118.501747
91351,1,91351,1,0,34.441595,-118.44811
91355,2,91355,2,0,34.43666,-118.675984
91367,11,91367,1,1,34.177311,-118.615704
91377,1,91377,1,0,34.184974,-118.766912
91381,3,91381,1,1,34.384697,-118.647244
91405,1,91405,1,0,34.199824,-118.447609
91406,1,91406,1,0,34.195685,-118.490752
91502,1,91502,1,0,34.176817,-118.309323
91504,4,91504,4,1,34.204568,-118.326365
91506,1,91506,1,0,34.171188,-118.323913
91601,2,91601,2,0,34.1692,-118.372498
91605,1,91605,1,0,34.207341,-118.400973
91701,4,91701,2,1,34.137576,-117.599967
91702,3,91702,3,1,34.280333,-117.866141
91706,2,91706,2,0,34.09741,-117.968269
91710,4,91710,3,1,34.004468,-117.684697
91722,1,91722,1,0,34.097345,-117.906736
91724,1,91724,1,0,34.080444,-117.854734
91731,2,91731,1,0,34.078573,-118.043456
91732,2,91732,1,0,34.07342,-118.015345
91733,1,91733,1,0,34.046243,-118.053748
91737,3,91737,1,1,34.152583,-117.577707
91739,4,91739,2,1,34.172754,-117.521243
91741,2,91741,1,0,34.156529,-117.841605
91744,3,91744,1,1,34.031415,-117.93647
91745,1,91745,1,0,33.999005,-117.972146
91748,7,91748,1,1,33.974883,-117.900676
91762,4,91762,1,1,34.05941,-117.674011
91763,3,91763,1,1,34.072329,-117.698315
91764,4,91764,2,1,34.074087,-117.605618
91765,5,91765,1,1,33.98627,-117.821282
91766,2,91766,2,0,34.042286,-117.756106
91768,2,91768,2,0,34.063516,-117.790379
91773,4,91773,2,1,34.110186,-117.81039
91776,4,91776,2,1,34.090776,-118.095091
91780,2,91780,1,0,34.102077,-118.057754
91786,2,91786,2,0,34.105282,-117.662035
91790,2,91790,1,0,34.066964,-117.937007
91791,3,91791,1,1,34.061624,-117.892235
91801,4,91801,2,1,34.090727,-118.127525
91910,2,91910,1,0,32.637868,-117.058031
91911,3,91911,3,1,32.608185,-117.054512
91913,9,91913,3,1,32.6201,-116.986899
91914,1,91914,1,0,32.674172,-116.943939
91915,1,91915,1,0,32.623185,-116.949053
91932,2,91932,1,0,32.573755,-117.120872
91944,5,91944,1,1,32.777999,-117.021511
91950,1,91950,1,0,32.670646,-117.094668
91977,1,91977,1,0,32.726237,-116.994318
91978,1,91978,1,0,32.724154,-116.940093
92003,1,92003,1,0,33.285274,-117.197777
92019,4,92019,3,1,32.77987,-116.884422
92020,3,92020,2,1,32.795508,-116.969746
92021,2,92021,1,0,32.838798,-116.869956
92024,10,92024,4,1,33.056022,-117.2599
92025,1,92025,1,0,33.126993,-117.105035
92026,1,92026,1,0,33.212444,-117.116094
92027,3,92027,2,1,33.131156,-116.976997
92028,1,92028,1,0,33.390477,-117.209427
92037,1,92037,1,0,32.856347,-117.250058
92040,2,92040,2,0,32.90891,-116.891972
92054,3,92054,1,1,33.207337,-117.399319
92057,1,92057,1,0,33.254619,-117.283341
92065,1,92065,1,0,33.053006,-116.850651
92069,3,92069,2,1,33.170776,-117.158675
92071,1,92071,1,0,32.852358,-116.987842
92078,2,92078,1,0,33.117154,-117.180623
92082,1,92082,1,0,33.253513,-117.003382
92083,2,92083,2,0,33.19784,-117.248203
92084,10,92084,5,1,33.219935,-117.202606
92101,4,92101,4,1,32.724103,-117.170912
92106,3,92106,2,1,32.710818,-117.237613
92109,1,92109,1,0,32.786772,-117.234207
92111,4,92111,3,1,32.806476,-117.168879
92113,2,92113,2,0,32.696716,-117.117881
92114,1,92114,1,0,32.707756,-117.055095
92115,3,92115,3,1,32.764998,-117.073641
92117,1,92117,1,0,32.824572,-117.199518
92120,1,92120,1,0,32.794714,-117.071764
92122,2,92122,2,0,32.861727,-117.171224
92126,5,92126,1,1,32.908485,-117.141402
92128,1,92128,1,0,32.999818,-117.071808
92129,1,92129,1,0,32.96692,-117.126158
92131,1,92131,1,0,32.88607,-117.085981
92154,2,92154,1,0,32.567022,-117.00425
92176,1,92176,1,0,32.553021,-117.042454
92201,2,92201,2,0,33.710984,-116.204844
92220,2,92220,1,0,33.948948,-116.832362
92223,5,92223,1,1,33.948307,-116.987992
92227,2,92227,2,0,32.990121,-115.358757
92231,1,92231,1,0,32.687551,-115.541029
92233,1,92233,1,0,33.172881,-115.553769
92243,1,92243,1,0,32.770197,-115.59859
92253,3,92253,1,1,33.641767,-116.273943
92270,3,92270,1,1,33.768584,-116.429988
92274,2,92274,1,0,33.460457,-116.084545
92277,2,92277,2,0,34.178105,-115.642899
92307,1,92307,1,0,34.571218,-117.133073
92308,1,92308,1,0,34.424366,-117.161295
92315,2,92315,1,0,34.232796,-116.902863
92316,1,92316,1,0,34.059306,-117.390768
92324,4,92324,1,1,34.02452,-117.289255
92336,1,92336,1,0,34.147718,-117.464506
92337,1,92337,1,0,34.049809,-117.470613
92344,3,92344,2,1,34.391145,-117.405722
92345,1,92345,1,0,34.376159,-117.294397
92356,1,92356,1,0,34.510646,-116.896718
92374,4,92374,2,1,34.067146,-117.171885
92376,2,92376,1,0,34.111605,-117.377406
92377,1,92377,1,0,34.157763,-117.405966
92395,3,92395,2,1,34.501472,-117.292048
92399,3,92399,2,1,34.032301,-117.010574
